Transporteur,Origine,Origine_uic,Destination,Destination_uic,Distance entre les gares,Train - Empreinte carbone (kgCO2e),Autocar longue distance - Empreinte carbone (kgCO2e),Avion - Empreinte carbone (kgCO2e),Voiture électrique (2.2 pers.) - Empreinte carbone (kgCO2e),Voiture thermique (2.2 pers.) - Empreinte carbone (kgCO2e)
TGV,Paris Est,87113001,Metz,87192039,352.0,1.0208,11.454,,15.604,35.7896
TGV,Aeroport CDG2 TGV Roissy,87271494,Lille Europe,87223263,203.0,0.5886999999999999,6.9345,,9.447,21.6678
International,Paris Nord,88194060,Bruxelles N Aero,88194060,314.0,2.4178,10.764,37.9745,14.664,33.6336
International,Paris Gare de Lyon,87686006,Geneve,85010082,503.0,1.7102,18.6645,59.03960000000001,25.427,58.319799999999994
TGV,Marne la Vallee Chessy,87111849,Avignon TGV,87318964,646.0,1.8734,24.1845,,32.947,75.5678
TGV,Paris Gare de Lyon,87686006,Valence TGV Rhône-Alpes Sud,87763029,535.0,1.5515,23.667,,32.242,73.9508
TER,Nancy Ville,87141002,Strasbourg Ville,87212027,150.0,3.66,5.4165,,7.379,16.924599999999998
International,Paris Gare de Lyon,87686006,Oulx Cesana Clav Sestriere,83002048,660.0,5.082,24.081,,32.806,75.2444
TGV,Paris Gare de Lyon,87686006,Dijon,87713040,290.0,0.841,10.8675,,14.805,33.957
TGV,Strasbourg Ville,87212027,Nantes,87481002,834.0,2.4186,29.8425,184.813,40.655,93.247
TGV,Paris Gare du Nord,87271007,Dunkerque,87281006,305.0,0.8845,10.3845,,14.147,32.4478
Intercités,Bayonne,87673004,Toulouse-Matabiau,87611004,321.0,2.247,10.3155,,14.053,32.2322
TGV,Lille Europe,87223263,Bruxelles Midi Brussel Zuid,88140010,107.0,0.3103,3.864,,5.264,12.0736
TER,Marseille Saint-Charles,87751008,Nice Ville,87756056,224.0,5.465599999999999,7.1415,,9.729,22.3146
TGV,Paris Gare du Nord,87271007,Valenciennes,87343004,237.0,0.6872999999999999,7.314,,9.964,22.8536
International,Marseille Saint-Charles,87751008,Bruxelles Midi Brussel Zuid,88140010,1072.0,3.1087999999999996,35.4315,120.94520000000001,48.269,110.71059999999999
TER,Geneve,85010082,Lyon Perrache,87722025,162.0,3.9528,5.175,,7.05,16.17
International,Paris Gare de Lyon,87686006,Torino Porta Susa,83002220,734.0,5.651800000000001,26.772,83.9738,36.472,83.6528
TGV,Marne-la-Vallée-Chessy,87111849,Lille Europe,87223263,227.0,0.6583,8.3835,,11.421,26.1954
TGV,Paris Gare de Lyon,87686006,Montpellier Saint-Roch,87773002,738.861,2.1426969,25.8405,155.1388,35.203,80.7422
TGV,Lyon Part Dieu,87723197,Marseille Saint-Charles,87751008,325.0,0.9425,10.8675,72.10310000000001,14.805,33.957
Intercités,Lyon-Part-Dieu,87723197,Nantes,87481002,812.0,5.684,23.667,73.9428,32.242,73.9508
TER,Grenoble,87747006,Lyon Part-Dieu,87723197,131.0,3.1963999999999997,3.8985,,5.311,12.1814
International,Marseille Saint-Charles,87751008,Geneve,85010082,521.0,1.7713999999999999,15.9045,,21.667,49.6958
TGV,Paris Montparnasse,87391003,Rennes,87471003,363.952,1.0554608,20.2515,71.36340000000001,27.589,63.2786
TGV,Paris Montparnasse,87391003,Angers-St-Laud,87484006,303.0,0.8786999999999999,10.3845,,14.147,32.4478
Intercités,Paris Gare de Lyon,87686006,Vichy,87732008,364.0,2.548,14.1105,,19.223,44.090199999999996
TER,Paris Austerlitz,87547000,Orléans,87543009,121.0,2.9523999999999995,4.692,,6.392,14.6608
TER,Toulouse-Matabiau,87611004,Perpignan,87784009,210.0,5.124,7.1415,,9.729,22.3146
International,Paris Nord,88194060,Koeln HBF,80154583,823.0,6.3371,17.181,,23.406,53.684400000000004
International,Paris Gare de Lyon,87686006,Milano P Garibaldi,83016451,877.0,6.7529,31.4985,91.99860000000001,42.911,98.42139999999999
TGV,Paris Montparnasse,87391003,Toulouse Matabiau,87611004,793.993,2.3025797000000003,23.4255,84.40370000000001,31.913,73.19619999999999
TGV,Paris Gare de Lyon,87686006,Mâcon Loché TGV,87725705,369.0,1.0700999999999998,13.9035,,18.941,43.443400000000004
TER,Paris-Nord,87271007,Amiens,87313874,131.0,3.1963999999999997,4.8645,,6.627,15.1998
International,Paris Est,87113001,Karlsruhe HBF,80142281,523.0,3.5564,19.182,,26.132,59.9368
TGV,Paris Montparnasse,87391003,Bayonne,87673004,734.758,2.1307982,26.565,,36.19,83.006
TGV,Paris Montparnasse,87391003,Le Mans,87396002,202.0,0.5858,7.2105,,9.823,22.5302
TGV,Paris Gare de Lyon,87686006,Besançon Franche Comté,87300863,367.0,1.0643,14.352,,19.552,44.84479999999999
TGV,Bruxelles Midi Brussel Zuid,88140010,Lyon Part Dieu,87723197,733.0,2.1256999999999997,24.7365,147.8504,33.699,77.2926
TGV,Paris Montparnasse,87391003,Arcachon,87582668,595.0,1.7255,19.5,,30.55,70.07
TGV,Aéroport Charles de Gaulle 2 TGV,87271494,Lyon Part Dieu,87723197,442.0,1.2818,17.2155,104.12,23.453,53.792199999999994
TER,Arcachon,87582668,Bordeaux Saint-Jean,87581009,58.0,1.4151999999999998,2.553,,3.478,7.9772
TGV,Aéroport Charles de Gaulle 2 TGV,87271494,Bruxelles Midi Brussel Zuid,88140010,291.0,0.8439,9.9705,62.7323,13.583,31.1542
TGV,Paris Gare de Lyon,87686006,Marseille Saint-Charles,87751008,750.138,2.1754002,26.7375,172.3186,36.425,83.545
TGV,Paris Gare de Lyon,87686006,Toulon,87755009,812.0,2.3547999999999996,28.9455,181.1688,39.433,90.4442
International,Paris Nord,88194060,Amsterdam Centraal,84000588,545.0,4.1965,17.5605,61.7623,23.923,54.8702
TER,Paris Saint-Lazare,87384008,Caen,87444000,239.0,5.8316,8.5905,,11.703,26.842200000000002
International,Paris Gare de Lyon,87686006,Basel SBB,85000109,525.0,1.785,19.6995,,26.837,61.553799999999995
TER,Paris Saint-Lazare,87384008,Cherbourg,87444877,371.0,9.0524,12.834,,17.484,40.1016
TGV,Paris Gare de Lyon,87686006,Annecy,87746008,545.0,1.5805,19.32,,26.32,60.368
International,Strasbourg,87212027,Bruxelles Midi Brussel Zuid,88140010,730.0,2.117,14.8005,,20.163,46.246199999999995
TER,Rennes,87471003,Brest,87474007,249.0,6.0756,8.418,,11.468,26.3032
TGV,Paris Montparnasse,87391003,Vannes,87476606,489.0,1.4181,16.008,,21.808,50.0192
International,Paris Gare de Lyon,87686006,Zuerich HB,85030007,614.0,2.0876,22.5975,70.36030000000001,30.785,70.609
TGV,Paris Gare du Nord,87271007,Douai,87345009,204.0,0.5916,6.831,,9.306,21.344399999999997
International,Paris Est,87113001,Mannheim HBF,80140087,581.0,3.9507999999999996,18.078,,24.628,56.487199999999994
TGV,Paris Gare du Nord,87271007,Lens,87345025,198.0,0.5741999999999999,7.383,,10.058,23.069200000000002
TGV,Paris-Est,87113001,Champagne-Ardenne-TGV,87171926,175.0,0.5075,5.106,,6.956,15.9544
Intercités,Marseille Saint-Charles,87751008,Bordeaux Saint-Jean,87581009,680.0,4.76,22.3215,72.5098,30.409,69.74659999999999
Intercités,Agen,87586008,Bordeaux Saint-Jean,87581009,135.0,0.945,4.7955,,6.533,14.9842
Intercités,Bordeaux Saint-Jean,87581009,Nantes,87481002,525.0,3.675,12.213,,16.638,38.161199999999994
TER,Paris Saint-Lazare,87384008,Rouen Rive Droite,87411017,139.0,3.3916,5.037,,6.862,15.7388
International,Nimes Centre,87775007,Barcelona Sants,71718010,394.0,1.1425999999999998,13.593,,18.518,42.4732
TER,Bayonne,87673004,Bordeaux Saint-Jean,87581009,198.0,4.8312,6.5895,,8.977,20.5898
International,Chambery Challes-les-Eaux,87741009,Torino Porta Susa,83002220,202.0,1.5554000000000001,7.176,,9.776,22.422399999999996
TGV,Paris Montparnasse,87391003,La Rochelle,87485003,460.0,1.334,11.454,,15.604,35.7896
TGV,Lille Europe,87223263,Lyon Part Dieu,87723197,645.356,1.8715323999999998,23.874,,32.524,74.59759999999999
TGV,Paris Gare de Lyon,87686006,Grenoble,87747006,556.09,1.6126610000000001,19.872,,27.072,62.0928
TGV,Paris Gare du Nord,87271007,Lille Europe,87223263,225.249,0.6532220999999999,7.935,,10.81,24.794
International,Paris Est,87113001,Luxembourg,82001000,373.0,1.0817,12.903,42.4168,17.578,40.3172
Intercités,Paris-Austerlitz,87547000,Rodez,87613422,660.0,4.62,22.77,71.93660000000001,31.02,71.148
TER,Paris Saint-Lazare,87384008,Le Havre Gare locale,87413013,228.0,5.5632,7.2795,,9.917,22.7458
Intercités,Paris-Gare-de-Lyon,87686006,Clermont-Ferrand,87734004,419.0,2.933,14.628,49.8684,19.928,45.7072
TGV,Paris Est,87113001,Strasbourg,87212027,450.58,1.3066820000000001,16.836,,22.9125,52.6064
TGV,Paris Est,87113001,Mulhouse,87182063,495.0,1.4355,18.6645,56.17360000000001,25.427,58.319799999999994
Intercités,Marseille Saint-Charles,87751008,Toulouse-Matabiau,87611004,423.0,2.961,13.9725,,19.035,43.659
TER,Paris Nord,87271007,Compiègne,87276691,84.0,2.0496,2.829,,3.854,8.8396
International,Paris Nord,88194060,Schiphol Airport,84005611,510.0,3.927,17.5605,60.3293,23.923,54.8702
TGV,Paris Montparnasse,87391003,Nantes,87481002,385.841,1.1189388999999998,13.317,48.865300000000005,18.142,41.6108
TGV,Paris Est,87113001,Nancy,87141002,367.0,1.0643,13.317,,18.142,41.6108
TGV,Metz Ville,87192039,Strasbourg Ville,87212027,352.0,1.0208,11.454,,15.604,35.7896
TGV,Paris Nord,87271007,Calais Ville,87317263,335.0,0.9715,10.2465,,13.959,32.0166
TGV,Marne la Vallee Chessy,87111849,Aix en Provence TGV,87319012,720.0,2.088,26.565,,36.19,83.006
TER,Paris Saint-Lazare,87384008,Trouville-Deauville,87444372,219.0,5.3435999999999995,7.3485,,10.011,22.961399999999998
International,Lyon Part Dieu,87723197,Bruxelles Midi Brussel Zuid,88140010,751.0,2.1779,24.702,81.3944,33.652,77.18480000000001
TGV,Paris Montparnasse,87391003,Poitiers,87575001,320.0,0.928,11.7645,,16.027,36.7598
TGV,Paris Est,87113001,Reims,87171009,146.156,0.42385239999999996,5.0025,,6.815,15.631
TGV,Paris Gare de Lyon,87686006,Belfort-Montbéliard TGV,87300822,449.0,1.3020999999999998,17.112,,23.312,53.468799999999995
Intercités,Bordeaux Saint-Jean,87581009,Toulouse-Matabiau,87611004,257.0,1.799,8.418,,11.468,26.3032
TER,Dijon Ville,87713040,Lyon Part-Dieu,87723197,192.0,4.684799999999999,6.693,,9.118,20.9132
International,Paris Gare de Lyon,87686006,Lausanne,85011205,479.0,1.6285999999999998,17.94,,24.44,56.056
International,Paris Nord,88194060,London St-Pancras,70154005,496.0,3.3728,15.939,49.00860000000001,21.714,49.803599999999996
TGV,Paris Nord,87271007,Arras,87342014,179.0,0.5191,6.555,,8.93,20.482
TGV,Paris Gare de Lyon,87686006,Lyon Part Dieu,87723197,429.496,1.2455383999999998,16.077,102.55820000000001,21.855,50.23479999999999
Intercités,Paris-Austerlitz,87547000,Brive-la-Gaillarde,87594002,498.0,3.486,16.698,,22.748,52.1752
International,Paris Est,87113001,Muenchen HBF,80203471,843.0,5.732399999999999,28.7385,98.4471,39.151,89.7974
TGV,Paris Montparnasse,87391003,Saint-Pierre-des-Corps,87571240,221.0,0.6409,8.2455,,11.233,25.764200000000002
TGV,Aéroport Charles de Gaulle 2 TGV,87271494,Rennes,87471003,421.0,1.2208999999999999,13.179,47.145700000000005,17.954,41.1796
TGV,Paris Montparnasse,87391003,Biarritz,87673400,744.496,2.1590384,27.0135,95.86770000000001,36.801,84.4074
Intercités,Bayonne,87673004,Pau,87672006,106.0,0.742,3.8985,,5.311,12.1814
International,Montpellier Saint-Roch,87773002,Barcelona Sants,71718010,344.0,0.9976,12.0405,,16.403,37.6222
TGV,Paris Montparnasse,87391003,Brest,87474007,613.0,1.7777,20.424,72.07990000000001,27.824,63.8176
TER,Brive-la-Gaillarde,87594002,Bordeaux Saint-Jean,87581009,200.0,4.88,6.969,,9.494,21.775599999999997
International,Paris Gare de Lyon,87686006,Barcelona Sants,71718010,1076.0,3.1204,35.811,119.2256,48.786,111.8964
TGV,Paris Montparnasse,87391003,Angoulême,87583005,428.0,1.2412,15.525,,21.15,48.51
TGV,Paris Gare de Lyon,87686006,Chambéry - Challes-les-Eaux,87741009,531.951,1.5426579,19.6995,,26.837,61.553799999999995
TGV,Paris Montparnasse,87391003,Bordeaux Saint-Jean,87581009,537.13,1.557677,20.2515,129.6294,27.589,63.2786
Intercités,Paris-Austerlitz,87547000,Limoges-Bénédictins,87592006,400.0,2.8,13.524,,18.424,42.2576
TER,Chambéry-Challes-les-Eaux,87741009,Lyon Part-Dieu,87723197,107.0,2.6108,3.7605,,5.123,11.7502
TER,Belfort,87184002,Besançon-Viotte,87300863,96.0,2.3423999999999996,3.4155,,4.653,10.672199999999998
TGV,Paris Gare de Lyon,87686006,Saint-Raphaël,87757526,908.65,2.635085,30.2565,,41.219,94.5406
TER,Le Havre Gare locale,87413013,Rouen Rive Droite,87411017,88.0,2.1471999999999998,3.174,,4.324,9.9176
International,Aéroport Charles de Gaulle 2 TGV,87271494,Bruxelles Midi Brussel Zuid,88140010,310.0,0.899,9.9015,34.5353,13.489,30.938599999999997
International,Paris Est,87113001,Stuttgart HBF,80290346,608.0,4.134399999999999,21.459,72.07990000000001,29.234,67.0516
TGV,Massy-TGV,87393702,Bordeaux Saint-Jean,87581009,523.0,1.5167,19.6305,,26.743,61.3382
TGV,Paris Gare de Lyon,87686006,Nice,87756056,971.68,2.817872,32.223,179.3467,43.898,100.6852
TGV,Lyon Part Dieu,87723197,Montpellier Saint-Roch,87773002,314.0,0.9106000000000001,10.4535,,14.241,32.663399999999996
International,Paris Est,87113001,Frankfurt Main HBF,80110684,659.0,4.481199999999999,19.7685,68.9273,26.931,61.769400000000005
International,Paris Est,87113001,Freiburg Breisgau HBF,80143503,530.0,3.604,20.562,,28.012,64.24879999999999
